TS,VEJNAVN,beskrivelse,ÅR,KATEGORI,taelling_type,ANTAL 7-8,ANTAL 8-9,ANTAL 9-10,ANTAL 10-11,ANTAL 11-12,ANTAL 12-13,ANTAL 13-14,ANTAL 14-15,ANTAL 15-16,ANTAL 16-17,ANTAL 17-18,ANTAL 18-19,TOTAL,længdegrader,bredegrader,KØRETØJER ÅDT,KØRETØJER HDT,CYK+KNALL ÅDT,CYK+KNALL HDT,FODGÆNGERE ÅDT,FODGÆNGERE HDT,LADCYKLER %,TUNG TRAFIK %
3,Bredgade,nord for Kongens Nytorv,2013,PERSONBILER + MC,Andre faste tællinger,682,760,625,534,556,620,582,659,827,955,993,705,8498,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2013,"VAREVOGNE (MAX. 3,5 T)",Andre faste tællinger,237,207,197,235,202,207,182,156,134,109,94,72,2032,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2014,A: LET TRAFIK I ALT,Andre faste tællinger,919,922,818,806,693,790,791,837,975,974,932,764,10221,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2014,B: TUNG TRAFIK I ALT,Andre faste tællinger,55,51,60,61,49,44,38,37,29,27,22,19,492,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2014,BUSSER,Andre faste tællinger,20,15,29,29,24,26,26,26,26,24,20,19,284,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2014,CYK+KNALL,Andre faste tællinger,477,765,299,128,125,193,185,254,440,644,499,308,4317,12.587600106423729,55.681163602385205,0,0,4400,5300,0,0,0.023859161454713923,
3,Bredgade,nord for Kongens Nytorv,2014,CYKLER + KNALLERTER,Andre faste tællinger,464,750,291,124,123,190,177,249,417,634,488,307,4214,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2014,KØRETØJER ,Andre faste tællinger,974,973,878,867,742,834,829,874,1004,1001,954,783,10713,12.587600106423729,55.681163602385205,12500,14000,0,0,0,0,,0.04592551106132736
3,Bredgade,nord for Kongens Nytorv,2014,LADCYKLER,Andre faste tællinger,13,15,8,4,2,3,8,5,23,10,11,1,103,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2014,LASTBILER,Andre faste tællinger,35,36,31,32,25,18,12,11,3,3,2,0,208,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2014,PERSONBILER + MC,Andre faste tællinger,672,731,595,573,472,607,615,685,855,878,843,690,8216,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2014,"VAREVOGNE (MAX. 3,5 T)",Andre faste tællinger,247,191,223,233,221,183,176,152,120,96,89,74,2005,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2016,A: LET TRAFIK I ALT,Andre faste tællinger,659,732,737,767,715,835,670,790,894,931,869,752,9351,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2016,B: TUNG TRAFIK I ALT,Andre faste tællinger,46,41,47,40,51,32,62,54,50,26,21,23,493,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2016,BUSSER,Andre faste tællinger,20,18,20,18,27,20,33,31,28,22,20,19,276,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2016,CYK+KNALL,Andre faste tællinger,391,760,244,247,222,239,290,301,484,704,567,337,4786,12.587600106423729,55.681163602385205,0,0,4900,5800,0,0,0.021938988717091518,
3,Bredgade,nord for Kongens Nytorv,2016,CYKLER + KNALLERTER,Andre faste tællinger,385,743,240,246,217,229,277,295,470,694,556,329,4681,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2016,KØRETØJER ,Andre faste tællinger,705,773,784,807,766,867,732,844,944,957,890,775,9844,12.587600106423729,55.681163602385205,11500,12900,0,0,0,0,,0.05008126777732629
3,Bredgade,nord for Kongens Nytorv,2016,LADCYKLER,Andre faste tællinger,6,17,4,1,5,10,13,6,14,10,11,8,105,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2016,LASTBILER,Andre faste tællinger,26,23,27,22,24,12,29,23,22,4,1,4,217,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2016,PERSONBILER + MC,Andre faste tællinger,460,573,522,516,511,663,587,697,792,843,787,680,7631,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2016,"VAREVOGNE (MAX. 3,5 T)",Andre faste tællinger,199,159,215,251,204,172,83,93,102,88,82,72,1720,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2018,A: LET TRAFIK I ALT,Andre faste tællinger,881,837,750,728,701,688,692,775,862,1017,904,652,9487,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2018,B: TUNG TRAFIK I ALT,Andre faste tællinger,51,40,51,42,41,50,33,29,31,31,29,31,459,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2018,BUSSER,Andre faste tællinger,19,26,26,24,25,33,25,28,26,25,26,31,314,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2018,CYK+KNALL,Andre faste tællinger,667,1291,494,268,254,282,284,336,616,754,615,400,6261,12.587600106423729,55.681163602385205,0,0,6400,7600,0,0,0.023798115317042005,
3,Bredgade,nord for Kongens Nytorv,2018,CYKLER + KNALLERTER,Andre faste tællinger,645,1267,484,258,247,272,275,326,599,739,603,397,6112,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2018,KØRETØJER ,Andre faste tællinger,932,877,801,770,742,738,725,804,893,1048,933,683,9946,12.587600106423729,55.681163602385205,11600,13000,0,0,0,0,,0.046149205710838526
3,Bredgade,nord for Kongens Nytorv,2018,LADCYKLER,Andre faste tællinger,22,24,10,10,7,10,9,10,17,15,12,3,149,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2018,LASTBILER,Andre faste tællinger,32,14,25,18,16,17,8,1,5,6,3,0,145,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2018,PERSONBILER + MC,Andre faste tællinger,637,667,570,486,485,520,534,652,756,940,841,601,7689,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2018,"VAREVOGNE (MAX. 3,5 T)",Andre faste tællinger,244,170,180,242,216,168,158,123,106,77,63,51,1798,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2020,A: LET TRAFIK I ALT,Andre faste tællinger,834,798,689,630,590,561,658,759,899,884,851,671,8824,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2020,B: TUNG TRAFIK I ALT,Andre faste tællinger,39,22,21,18,15,16,7,10,3,2,4,3,160,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2020,BUSSER,Andre faste tællinger,3,2,4,2,3,4,2,4,2,2,1,3,32,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2020,CYK+KNALL,Andre faste tællinger,670,1114,457,257,225,288,283,303,446,629,442,148,5262,12.587600106423729,55.681163602385205,0,0,5400,6400,0,0,0.0330672748004561,
3,Bredgade,nord for Kongens Nytorv,2020,CYKLER + KNALLERTER,Andre faste tællinger,648,1080,437,244,213,284,273,290,428,615,432,144,5088,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2020,KØRETØJER ,Andre faste tællinger,873,820,710,648,605,577,665,769,902,886,855,674,8984,12.587600106423729,55.681163602385205,10500,11800,0,0,0,0,,0.017809439002671415
3,Bredgade,nord for Kongens Nytorv,2020,LADCYKLER,Andre faste tællinger,22,34,20,13,12,4,10,13,18,14,10,4,174,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2020,LASTBILER,Andre faste tællinger,36,20,17,16,12,12,5,6,1,0,3,0,128,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2020,PERSONBILER + MC,Andre faste tællinger,620,626,508,410,426,424,542,637,785,797,784,616,7175,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2020,"VAREVOGNE (MAX. 3,5 T)",Andre faste tællinger,214,172,181,220,164,137,116,122,114,87,67,55,1649,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2021,A: LET TRAFIK I ALT,Andre faste tællinger,841,849,778,702,709,717,705,761,846,890,814,778,9390,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2021,B: TUNG TRAFIK I ALT,Andre faste tællinger,28,21,29,33,31,25,10,5,5,5,5,4,201,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2021,BUSSER,Andre faste tællinger,2,2,7,3,4,3,3,1,4,3,3,3,38,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
3,Bredgade,nord for Kongens Nytorv,2021,CYK+KNALL,Andre faste tællinger,576,973,442,206,226,243,217,292,429,601,481,347,5033,12.587600106423729,55.681163602385205,0,0,5200,6100,0,0,0.04172461752433936,
3,Bredgade,nord for Kongens Nytorv,2021,CYKLER + KNALLERTER,Andre faste tællinger,554,924,424,195,210,232,203,280,411,586,465,339,4823,12.587600106423729,55.681163602385205,0,0,0,0,0,0,,
