TS,vejnavn,beskrivelse,taelling_type,KATEGORI,ÅR,ANTAL 7-8,ANTAL 8-9,ANTAL 9-10,ANTAL 10-11,ANTAL 11-12,ANTAL 12-13,ANTAL 13-14,ANTAL 14-15,ANTAL 15-16,ANTAL 16-17,ANTAL 17-18,ANTAL 18-19,TOTAL,længdegrader,bredegrader
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,CYKLER + KNALLERTER,2021,554.0,924.0,424.0,195.0,210.0,232.0,203.0,280.0,411.0,586.0,465.0,339.0,4823.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,KØRETØJER ,2021,869.0,870.0,807.0,735.0,740.0,742.0,715.0,766.0,851.0,895.0,819.0,782.0,9591.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,LADCYKLER,2021,22.0,49.0,18.0,11.0,16.0,11.0,14.0,12.0,18.0,15.0,16.0,8.0,210.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,LASTBILER,2021,5.0,3.0,1.0,5.0,3.0,6.0,3.0,1.0,0.0,1.0,1.0,0.0,29.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,PERSONBILER + MC,2021,643.0,674.0,585.0,455.0,477.0,553.0,549.0,634.0,738.0,827.0,750.0,730.0,7615.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,"VAREVOGNE (MAX. 3,5 T)",2021,198.0,175.0,193.0,247.0,232.0,164.0,156.0,127.0,108.0,63.0,64.0,48.0,1775.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,A: LET TRAFIK I ALT,2022,1067.0,1062.0,801.0,736.0,729.0,743.0,686.0,816.0,971.0,1058.0,916.0,718.0,10303.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,B: TUNG TRAFIK I ALT,2022,33.0,26.0,34.0,40.0,31.0,20.0,14.0,14.0,9.0,6.0,4.0,3.0,234.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,CYK+KNALL,2022,698.0,1293.0,463.0,205.0,197.0,170.0,177.0,261.0,483.0,795.0,597.0,291.0,5630.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,CYKLER + KNALLERTER,2022,669.0,1237.0,436.0,195.0,186.0,159.0,166.0,243.0,452.0,764.0,584.0,285.0,5376.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,KØRETØJER ,2022,1100.0,1088.0,835.0,776.0,760.0,763.0,700.0,830.0,980.0,1064.0,920.0,721.0,10537.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,LADCYKLER,2022,29.0,56.0,27.0,10.0,11.0,11.0,11.0,18.0,31.0,31.0,13.0,6.0,254.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,LASTBILER,2022,9.0,6.0,4.0,7.0,1.0,6.0,6.0,2.0,1.0,0.0,0.0,0.0,42.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,PERSONBILER + MC,2022,757.0,858.0,584.0,496.0,508.0,583.0,539.0,670.0,860.0,988.0,854.0,669.0,8366.0,12.587600106423729,55.681163602385205
3,Bredgade,nord for Kongens Nytorv,Andre faste tællinger,"VAREVOGNE (MAX. 3,5 T)",2022,310.0,204.0,217.0,240.0,221.0,160.0,147.0,146.0,111.0,70.0,62.0,49.0,1937.0,12.587600106423729,55.681163602385205
4,Christian d. IV's Bro,syd for Niels Juels Gade,Andre faste tællinger,A: LET TRAFIK I ALT,2013,1267.0,1364.0,1137.0,1035.0,1030.0,1021.0,999.0,1190.0,1237.0,1338.0,1130.0,839.0,13587.0,12.587194935687066,55.67556235261653
